id,name,path_name,updated_at
7,液晶ディスプレイ、モニター,"スマホ、タブレット、パソコン > パソコン周辺機器 > ディスプレイ、モニター > 液晶ディスプレイ、モニター",2014-09-03
8,CRTディスプレイ、モニター,"スマホ、タブレット、パソコン > パソコン周辺機器 > ディスプレイ、モニター > CRTディスプレイ、モニター",2014-09-25
19,MOドライブ,"スマホ、タブレット、パソコン > パソコン周辺機器 > 外付けハードディスク、ドライブ > MOドライブ",2015-09-29
20,テープドライブ,"スマホ、タブレット、パソコン > パソコン周辺機器 > 外付けハードディスク、ドライブ > テープドライブ",2014-09-03
21,フロッピーディスクドライブ,"スマホ、タブレット、パソコン > パソコン周辺機器 > 外付けハードディスク、ドライブ > フロッピーディスクドライブ",2015-09-29
22,NAS、ネットワークストレージ,"スマホ、タブレット、パソコン > パソコン周辺機器 > 外付けハードディスク、ドライブ > NAS",2012-12-19
23,ディスクドライブその他,"スマホ、タブレット、パソコン > パソコン周辺機器 > 外付けハードディスク、ドライブ > その他ディスクドライブ",2015-09-29
25,USBメモリ,"スマホ、タブレット、パソコン > USBメモリ",2016-06-07
26,SDカード,"スマホ、タブレット、パソコン > メモリーカード > SDカード",2015-09-29
27,CF(コンパクトフラッシュ)カード,"スマホ、タブレット、パソコン > メモリーカード > CF（コンパクトフラッシュ）",2014-09-10
28,メモリースティック,"ゲーム、おもちゃ > テレビゲーム > プレイステーションポータブル（PSP） > 周辺機器 > メモリースティック",2014-09-03
28,メモリースティック,"スマホ、タブレット、パソコン > メモリーカード > メモリースティック",2014-09-03
29,スマートメディア,"スマホ、タブレット、パソコン > メモリーカード > スマートメディア",2012-12-19
30,xDピクチャーカード,"スマホ、タブレット、パソコン > メモリーカード > xDピクチャーカード",2014-09-03
31,"メモリーカード その他","スマホ、タブレット、パソコン > メモリーカード > その他メモリーカード",2015-09-29
33,ワイヤレスキーボード,"スマホ、タブレット、パソコン > パソコン周辺機器 > キーボード > ワイヤレスキーボード",2014-09-03
37,マウス（有線）,"スマホ、タブレット、パソコン > パソコン周辺機器 > マウス、トラックボール > マウス（有線）",2015-09-29
39,PC用ジョイスティック,"スマホ、タブレット、パソコン > パソコン周辺機器 > PC用ゲームコントローラー > ジョイスティック",2012-12-19
40,その他周辺機器,"スマホ、タブレット、パソコン > パソコン周辺機器 > その他周辺機器",2014-09-26
45,"PCオーディオ、映像関連機器 その他","スマホ、タブレット、パソコン > パソコン周辺機器 > PC映像、オーディオ関連機器 > その他PC映像関連機器",2015-09-29
47,フラットベッドスキャナー,"スマホ、タブレット、パソコン > パソコン周辺機器 > スキャナー > フラットベッドスキャナー",2014-09-03
48,フィルムスキャナー,"スマホ、タブレット、パソコン > パソコン周辺機器 > スキャナー > フィルムスキャナー",2014-09-03
49,ハンディスキャナー,"スマホ、タブレット、パソコン > パソコン周辺機器 > スキャナー > ハンディスキャナー",2014-09-03
53,無線LAN子機、アダプタ,"スマホ、タブレット、パソコン > パソコン周辺機器 > ルーター、ネットワーク機器 > 無線LAN > 子機、アダプタ",2014-09-03
54,無線LAN周辺機器その他,"スマホ、タブレット、パソコン > パソコン周辺機器 > ルーター、ネットワーク機器 > 無線LAN > その他無線LAN周辺機器",2015-09-29
57,有線LAN用スイッチングハブ,"スマホ、タブレット、パソコン > パソコン周辺機器 > ルーター、ネットワーク機器 > 有線LAN > スイッチングハブ",2012-12-19
59,USBハブ,"スマホ、タブレット、パソコン > サプライ、OA用品 > USBグッズ > USBハブ",2014-09-03
61,PC切替器(KVM),"スマホ、タブレット、パソコン > パソコン周辺機器 > 分配器、切替器 > PC切替器（KVM）",2014-09-03
